Model,Ticker,Date,Status,Latency (s),Input Tokens,Output Tokens,Est. Cost ($),Direction,Output Length,Support Breached,Resistance Breached,MAE Margin (%),Coverage Ratio,Error Info
claude-sonnet-4-20250514,NVDA,2026-03-05,Success,16.69,2993,877,0.022134,neutral_to_bearish,679,False,True,0.65,1.0,
meta-llama/llama-4-maverick,NVDA,2026-03-05,Success,5.55,2364,653,0.000746,up,283,False,True,1.99,1.0,[Errno 2] No such file or directory: '<repo>\\data\\analyst_outputs\\NVDA_meta-llama/llama-4-maverick_20260305_142037.json'
grok-4,NVDA,2026-03-05,Success,38.25,4114,668,0.022362,neutral,475,False,True,0.65,0.2,
